original,translate
CRITICAL HIT,致命一击
"For each successful Attack, there is a chance the Hit is upgraded to a Critical Hit",每次成功攻击都有几率将击中转化为致命一击
This is a percentage chance equal to the attacker’s Crit Chance Attribute,这是一个百分比几率，等于攻击者的临战几率属性
"If a Critical Hit is confirmed, the Damage dealt is multiplied by the Weapon’s Crit. value",如果确认为致命一击，造成的伤害会乘以武器的致命一击值
"For instance a Weapon with a Crit. value of, multiplies the Damage dealt in a Critical Hit by",例如，一把致命一击值为的武器，会在致命一击中将造成的伤害乘以
MELEE DMG,近战伤害
This is added to the current weapon's damage range for a total damage range,这会添加到当前武器的伤害范围，形成总伤害范围
Counts encumberance from Armor,计入护甲的负重
Defences are used to defend against attacks and negative effects,防御用于抵御攻击和负面效果
WILLPOWER,忍力
Willpower describes a character’s ability to withstand mind-affecting conditions such as those caused by spells,忍力描述了角色抵御影响心智的条件的能力，例如由法术引起的条件
This attribute influences,该属性影响
Main Attribute,主属性
Counts encumberance from Headwear,计入头盔的负重
Counts encumberance from Gloves,计入手套的负重
Counts encumberance from Armor and Footwear,计入护甲和靴子的负重
Abilities,能力
ABILITIES,能力
These are the Feats derived from your class,这些是源自你职业的专长
Distribute your Development Points in them to gain benefits and new Abilities,将你的专长点分配到它们中以获得益处和新能力
Ranks to Distribute,可分配的专长点数
Armsmaster Feats,武器大师专长
Not Today!,今天不行！
NOT TODAY!,今天不行！
Triggered Ability,触发能力
Targets,目标
Self,自身
Smashing Charge,破坏性冲锋
Enemies,敌人
Allies,同伴
Anyone,任何人
AoE,半径
Melee,近战
Your Charges cause 1-3 additional Blunt Damage,你的冲锋造成1-3点额外钝击伤害
Killing an opponent using a Heavy Melee Weapon restores 1 Attack,使用重型近战武器击杀对手恢复1次攻击
SWORD EXPERT,刀剑精通
Deep Cut,深创
Your Critical Hits using Blades cause Bleeding on your target,你的刀剑暴击会给目标造成流血效果
Critical Hits with a Club causes The Injured Leg condition,使用战锤造成致命一击会使目标陷入伤腿状态
AXE EXPERT,斧头专精
Rending Blow,剥裂攻击
RENDING BLOW,剥裂攻击
Critical Hits with an Axe causes Injury Conditions,使用斧头造成致命一击会使目标陷入受伤状态
ARCHERY EXPERT,射箭专精
ARCHERY MASTER,射箭大师
Rapid Reload,迅捷装填
RAPID RELOAD,迅捷装填
"If you score a Critical Hit with a Bow, you immediately regain 1 attack",如果你用弓造成致命一击，你立即恢复一次攻击
AXE MASTER,斧头大师
Decapitation,断头
DECAPITATION,断头
AllEnemies,所有敌人
The gruesomeness of your Axe-Kill causes the Fear condition in all opponents who can see it,你的斧头击杀的恐怖使所有能看到它的敌人陷入恐惧状态
CLUB MASTER,棍棒大师
SHIELD MASTER,屏障专精
Shield Slam,屏障撞击
SHIELD SLAM,屏障撞击
"Whilst wielding a shield, dodging a melee attack causes you to deal 1-4 Blunt damage to your attacker",持有盾牌时，闪避近战攻击会使你对攻击者造成1-4点钝击伤害
SWORD MASTER,刀剑大师
MEDIUM ARMOR MASTERY,中型盔甲精通
BLOODTHIRSTY,极度嗜血
HEAVY ARMOR MASTERY,重型盔甲精通
Cannot place Rank,无法放置等级
The maximum number of ranks have been placed for this Feat!,本特性已放置最大等级！
You don't have any ranks to distribute,没有等级可以分配
Level up to gain ranks!,升级以获得等级！
Gender,性别
Empty,空白
Male,男性
Portrait,头像
Hair Style,发型
Style,风格
Facial Hair,胡须
Hair Color,发色
Skin Tone,皮肤色调
Main Color,主色
Secondary Color,次色
Tertiary Color,三色
Randomize,随机生成
Customize Appearance,自定义外观
You can use this screen to customize your characters physical appearance,你可以使用此界面自定义角色的外貌
Note that changes made here are purely cosmetic,请注意，此处所做的更改仅是外观上的
Finalize your character by editing their appearance,通过编辑角色外观来最终确定你的角色
Female,女性
Type a name and press 'Continue'!,输入名字并按下“继续”！
Name must be between 3 and 10 characters long and may only contain standard English letters (A-Z,名字长度必须在3到10个字符之间，只能包含标准英文字母（A-Z）
You must destribute all your attribute points before you can proceed!,你必须分配完所有属性点才能继续！
