original,translate
Performing an attack will clear out all remaining movement points,进行攻击会清空剩余的所有移动点
"In other words, attacking will end the character’s turn in most cases",换句话说，攻击通常会结束角色的回合
New Character,新角色
You’ve added a new character to your party!,你已经为队伍添加了一个新角色！
"Press ""Q"" or the character portraits to swap the party leader",按“Q”键或角色肖像来切换队伍领袖
Press RIGHT BUMPER or the character portraits to swap the party leader,按右 bumper 或角色肖像来切换队伍领袖
The current leader’s Attributes are used for tests outside combat (such as for Awareness or Stealth,当前领袖的属性用于战斗外的检定（例如警觉或潜行）
Familiarize yourself with the Attributes and Abilities of your party members and have the right character take the lead depending on the circumstances,了解队伍成员的属性和能力，并根据情况让合适的角色担任领袖
"When a new member joins your party, they Level Up to your current level",当新成员加入队伍时，他们会提升到你当前的等级
The “Level Up” icon on your party-member’s portrait shows that a character is ready to level up!,队员肖像上的“提升等级”图标显示角色已经准备好提升等级了！
Double-click the character portrait and select FEATS to begin leveling up,双击角色肖像并选择“特技”开始提升等级
Press the X BUTTON and go to the FEATS tab to begin leveling up,按下 X 键并切换到“特技”标签页开始提升等级
Stealth,潜行
Press the Hide button to go into Stealth mode,按下潜行按钮进入潜行模式
The action buttons also map to the numerical buttons,动作按钮也映射到数字键
You may also press LEFT JOYSTICK to enter stealth mode,你也可以按下左摇杆进入潜行模式
While in stealth mode the Stealth indicator becomes visible,进入潜行模式后，潜行指示器会变得可见
A yellow indicator means you're in danger of being spotted,黄色指示器意味着你有可能被发现
"While your indicator is yellow, it will count down to 0%",当指示器为黄色时，它会倒计时到0%
When it reaches 0% you are spotted and will become visible,当它达到0%时，你将被发现并变得可见
Moving in lit areas and being close to other characters will make the counter go down very fast,在照明区域移动或靠近其他角色会使计数器迅速下降
Stick to shadows and avoid other characters,跟随阴影并避免其他角色
Your ability to stay hidden is dictated by your stealth skill,你保持隐蔽的能力取决于你的潜行技能
Increase this skill to stay hidden for longer,提高这项技能可以在更长时间内保持隐蔽
Wearing armor makes it harder to stay hidden,穿戴盔甲会使你更难保持隐蔽
"If the indicator turns green, it means you are no longer in danger of being spotted",如果指示器变为绿色，这意味着你不再有可能被发现
"Spending time in ""green"" areas will refill your stealth meter",在“绿色”区域花费时间会恢复你的潜行计数器
#Misc,#杂项
Crafting,制作
This is the Crafting screen,这是制作界面
"To create new items, double-click ingredients in your inventory to place them in the “Workstation” and then press “Craft",要创建新物品，请双击库存中的材料，在“工作站”中放置它们，然后按“制作”
"If the recipe is valid, new items will be created",如果配方有效，新物品将被创建
"To create new items, place ingredients in the “Workstation” grid and then press “Craft",要创建新物品，请将材料放置在“工作站”网格中，然后按“制作”
The recipe list in the left column represents known recipes,左侧列表中的配方列表代表已知的配方
You learn new recipes by experimenting or by finding recipe books out in the world,你通过实验或在世界中找到食谱书籍来学习新的食谱
Recipes that can currently be crafted are shown in green,当前可以制作的食谱会显示为绿色
Selecting a green recipe will automatically add all the necessary ingredients to the “Workstation,选择绿色的食谱会自动将所有必要的材料添加到“工作站”
Crafting is dependent on the Crafting skill,制作依赖于制作技能
"Crafting a valid recipe will always succeed but depending on your skill and the recipe’s difficulty, there is a chance you may produce more than one item",制作有效的食谱总是会成功，但根据你的技能和食谱的难度，你可能会制作出多于一个物品
Resting,休息
This is the Camp screen,这是营地屏幕
Use it to feed the party and select camp activities for the party members before resting,使用它来喂养队伍，并在休息前为队伍成员选择营地活动
"By default, the game always auto-saves when you make camp",默认情况下，当你扎营时，游戏会自动保存
"To fully recover from injuries, your party members must be well fed",为了完全恢复伤势，你的队伍成员必须吃饱
Normally 10 points of food is required per party member to recover 100%,通常，每个队伍成员需要10点食物来恢复100%
If less than the required amount is added your party will only recover partially,如果添加的食物少于所需数量，你的队伍只会部分恢复
Add food from your inventory by double clicking it,从你的库存中双击食物来添加食物
Note that prepared meals add a lot more food per item than raw ingredients,注意，准备好的餐食每项提供的食物量远多于生材料
Seek out crafting stations to craft meals from raw ingredients,寻找制作站来从生材料制作餐食
Select food from your inventory for your party to eat,从你的库存中选择食物让队伍成员食用
You also need to select Camp Activities for your party members,你还需要为你的队伍成员选择营地活动
These provide bonuses based on your character's skills,这些活动根据你角色的技能提供加成
Beds and Inns,床铺和旅店
Keep an eye out for beds or inns to rest in while adventuring,在冒险时留意寻找可以休息的床铺或旅店
Doing so is superior to sleeping in the wild,这样做比在野外睡觉要好
"While resting at an inn or in a bed, you have the option to manage your party!",在旅店或床上休息时，你可以管理你的队伍！
"This means you can choose what characters get to be part of your main party, and who should wait in camp",这意味着你可以选择哪些角色成为你主要队伍的一部分，哪些角色应该留在营地
Camp followers do not earn XP and never participate in combat,营地随从不会获得经验点数，也从不参与战斗
Camp followers will for the most part not engage in the narrative,营地随从大多数情况下不会参与故事情节
"There are a few exceptions to this however, and there are some cases where even characters outside your main party may chime in during conversations",然而，有一些例外情况，甚至队伍外的角色也可能在对话中插话
Sailing,航行
"While sailing on the overland map, the “Make Camp” button changes appearance",在大陆地图上航行时，“扎营”按钮会改变外观
Click it to explore the ship you’re currently on,点击它来探索你目前所在的船只
Press it to explore the ship you’re currently on,点击它来探索你目前所在的船只
"While on the ship, it’s possible to rest and reorganize, cook, craft items and even do some limited bartering",在船上，你可以休息、重新组织队伍、烹饪、制作物品，甚至进行一些有限的交易
There may also be characters to talk to,你还可以与船上的角色交谈
"When you’re done interacting with the ship and crew, interact with the ship’s helm to go back to the overland map",完成与船只和船员的互动后，与船舵互动以返回大陆地图
