original,translate
"It’s sparsely settled and legend has it, it’s the site of the ruined monastery known as the Black Priory",这里人口稀少，传说中这里是名为黑修道院的废墟修道院的所在地。
The only main settlement on Gradla is Adler's Helm,格拉拉唯一的主城是阿德勒之盔。
Horryn,哈罗因
A once prosperpus port and fishing village on the island of Idra,岛屿伊德拉曾经繁荣的港口和渔村。
Hyalomancers,赫亚隆法师
Hyalomancers are Imperial magi specializing in the crafting of glass,赫亚隆法师是专门研究玻璃制作的帝国法师。
Idra,伊德拉
The main island of the Outer Isles,外群岛的主要岛屿。
Its main settlement is the port of Horryn,它的主要聚落是哈罗因港。
The Outer Isles,外群岛
A North-Easterly archipelago that serves as a mid-way point between the Gallian Empire and its colonies,位于东北方向的一组岛屿，是加利安帝国及其殖民地之间的中途点。
Its main port is located on the island of Idra,它的主要港口位于伊德拉岛上。
Reticulum,赛特里库姆
The field of arcane energies that surrounds the planet of Warda,围绕瓦尔达星球的法术能量领域。
The Reticulum is the source of all power for the Imperial Magi,赛特里库姆是帝国法师所有力量的源泉。
Sepulchites,塞普丘特
An Imperial religious order tasked with caring for the dead,一个负责照料死者的职业宗教组织。
Sylver,西尔弗
A rare metal with strong reticular properties,一种具有强烈网络属性的稀有金属。
Used in the construction of arcane machinery and artifacts,用于法术机械和法术物品的建造。
Vauul,瓦乌尔
Vauul is the Imperial capital and seat of the Magi-Emperors,瓦乌尔是帝国首都，也是魔皇的治所
Warda,瓦达
The planet upon which you find yourself,你所在的星球
Noticeable for the presence of the Reticulum,以雷蒂库姆的存在而闻名
The dominant ruling power is the Gallian Empire,主导的统治力量是加利安帝国
#Rules,#规则
Simulates rolling and adding up two six-sided dice,模拟掷两个六面骰并相加
In other words a 2d6 roll generates a number between 2 and,换句话说，2d6掷骰生成一个2到
Accuracy,击中精度
Accuracy is added to an attacker’s Attack Roll when trying to hit an opponent,击中精度会在攻击者尝试击中对手时添加到攻击骰中
Accuracy is typically derived from a weapon’s quality,击中精度通常源自武器的质量
Armor Piercing,穿甲
An attack that is Armor Piercing ignores the target’s Soak value,一个穿甲攻击会忽略目标的吸收值
This means that the damage is not reduced by armor,这意味着伤害不会被护甲减少
Attack Roll,攻击骰
The Attack Roll is calulated in the following way,攻击骰按照以下方式计算
2d6 + Melee To Hit / Ranged To Hit + Misc,2d6 + 近战命中 / 远战命中 + 其他
Bonuses + Accuracy Bonuses,加值 + 击中精度加值
Attunement per Level,每级灵性连接
"Indicates how much of the game’s Magic resource, Attunement, is gained every time the character levels up",指示角色每次升级时获得的游戏魔法资源“调和”的数量
Backstab,背刺
A character that has activated the Ability to Backstab will automatically perform Backstabbing Attacks against opponents that are either Flanked or Vulnerable,具备背刺能力的角色在对被夹击或易伤的对手进行攻击时，会自动执行背刺攻击
A successful Backstab Attack adds the character’s Backstab Bonus Multiplied by the Weapon’s Crit Modifier to the damage roll,成功的背刺攻击将角色的背刺加成乘以武器的暴击修正值，加入到伤害骰中
Cascade,连锁
Each spell has a Cascade Difficulty,每个法术都有一个连锁难度
"When casting a spell, the caster tests their Spell Aptitude test against the Cascade Difficulty of the spell",施法时，施法者需要通过法术天赋测试，与法术的连锁难度进行对比
"If they succeed, they get to take another action",如果成功，施法者可以再进行一次动作
If they fail their turn ends,如果失败，其回合结束
This allows casters to chain spells together,这允许施法者将法术串联起来
A caster can cascade a number of spells together equal to their Max Cascade attribute,施法者可以连锁施放的法术数量等于其最大连锁属性值
Charging,冲刺
Moving at least 2 tiles in a straight line before performing an attack allows characters with a Melee weapon to perform a Charge Attack,在进行攻击前至少直线移动两格，使用近战武器的角色可以进行冲锋攻击
Charge attacks add a bonus to your hit chance depending on how far you manage to move before attacking,冲击攻击根据攻击前移动的距离，获得额外的命中加成
Critical Hit,暴击
"For each successful Attack, there is a chance the Hit is upgraded to a Critical Hit",每次成功攻击都有机会升级为暴击
This is a percentage chance equal to the attacker’s Crit Chance Attribute,这是一个百分比机会，等于攻击者的暴击几率属性值
"If a Critical Hit is confirmed, the Damage dealt is multiplied by the Weapon’s Crit. value",如果确认暴击，造成的伤害将乘以武器的暴击值
"For instance a Weapon with a Crit. value of, multiplies the Damage dealt in a Critical Hit by",例如，一个暴击值为的武器，在暴击时将伤害乘以
Defence Roll,防御骰
The Defence Roll is,防御检定是
2d6 + Misc Bonuses + Dodge,2d6 + 其他加值 + 闪避
Development Points,发展点
Development Points are gained when leveling up and used to buy ranks in Feats,发展点在升级时获得，并用于购买专长等级
This unlocks new Abilities for the Character making them more powerful,这将解锁新的能力，使角色变得更加强大
Difficulty,困难值
The Difficulty Class or DC of a test is the number a character must roll equal to or higher than to succeed,测试的困难值或DC是角色必须掷出等于或高于的数字才能成功
Disengage,分离
"If a character who is within melee range of an active opponent tries to move away, they Disengage",如果角色处于近战范围内且面对活跃的对手，尝试移动远离，则进行分离
Normally this means the Disengaging character immediately ends their turn,通常这意味着分离的角色会立即结束其回合
Enc,Enc
Encumbrance,负担
Encumbrance is a measure of how much your armor and equipment reduces your ability to act freely,负担衡量你的盔甲和装备如何减少你自由行动的能力
Different item slots affect different skills,不同的物品槽位影响不同的技能
"Armor affects Dodge, Stealth and Athletics",防具影响闪避、潜行和体能
Headwear and helmets affect Awareness,头部饰品和头盔影响感知
Gloves affect Thievery,手套影响偷盗
Footwear affects Stealth,脚部装备影响潜行
"Examine the different Attributes under the ‘Attributes’ tab to see if, and how much they are being affected by items worn",在“属性”标签下检查不同的属性，看看它们受到穿戴物品的影响情况以及影响程度
Flanking,侧翼攻击
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,如果对手占据该角色上方和下方，或者左侧和右侧的格子，该角色可以被夹击。
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,攻击夹击目标时，攻击者可以将夹击加值加到攻击骰上。
Rogues may Backstab Flanked Characters,盗贼可以对夹击的敌人进行背刺攻击。
Initiative Order,初始行动顺序
Every Combat Encounter begins with all combatants making an Initiative Roll,每次战斗开始时，所有参战者都要进行一次初始行动检定。
This is calculated by adding 2d6 to the character’s Initiative Attribute,这个检定是通过将2d6的掷骰结果加到角色的初始行动属性上计算得出的。
Characters then act in descending order of initiative,角色们按照初始行动值从高到低的顺序行动。
Characters who are not alert as combat begins gain a severe penalty to their Initiative Roll,如果战斗开始时角色没有警觉，其初始行动检定会受到严重的减值。
Main Attribute,主要属性
The Main Attribute is the Attribute that is the most important for this Class,主要属性是这个职业最重要的属性。
Saving Throw,保存掷骰
A Saving Throw is a roll using an Attribute against some Difficulty number to avoid receiving or canceling some ongoing negative effect,保存掷骰是使用某个属性对抗某个难度数，以避免或取消一些持续的负面效果。
Silenced,噤声
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to be able to speak",处于这种状态的角色不能使用，也不能被需要说话能力的法术或能力影响。
Soak,吸收
Soak is a measure of damage absorption,吸收是衡量伤害吸收能力的一个度量。
It is usually conferred by Armor,通常是由护甲提供的。
Some creatures also have natural Soak due to thick hides,一些生物也因为厚实的皮肤而拥有自然吸收。
"For every physical attack scored on the character, the damage is reduced by a random amount ranging from 0 to the character’s combined Soak",对角色的每一次物理攻击，伤害都会减少一个随机数值，范围从0到角色的总吸收值。
See also,参见
Spell Tier,魔法等级
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School",通过研究不同的法术施法学派，角色可以在该学派获得魔法等级
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,魔法等级使角色能够学习法术，不同的法术有不同的等级要求
Status Tags,状态标签
Status Tags are conferred by Conditions and used by the system to dictate player behavior,状态标签由条件授予，并由系统用来决定玩家的行为
Afraid,恐惧
Characters who are afraid are more susceptible to panicking,恐惧中的角色更容易惊慌
Asleep,睡眠
A character with this status tag is Vulnerable and does not act during their combat turn,具有此状态标签的角色处于易伤状态，并且在战斗回合中不行动
Sleeping characters are much easier to sneak past and surprise,睡眠中的角色更容易被悄悄绕过和出其不意
Bleeding,出血
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Bleeding is stopped,具有此状态标签的角色在每回合开始时会受到随机的伤害，范围从其最大生命力的1%到10%，直到出血停止
Blindness,盲目
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to see",具有此状态标签的角色无法使用或受其影响需要视觉的技能或法术
Charmed,着迷
A character with this status tag does not act during their turn,具有此状态标签的角色在回合中不行动
Confusion,迷惑
Deafness,耳聋
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to hear",具有此状态标签的角色无法使用或受其影响需要听觉的技能或法术
Defenceless,无防御
A Status Tag indicating that the character cannot defend themselves,一个状态标记，表示该角色无法自我防御
A Defenseless character is Vulnerable,一个无法防御的角色是易伤的
Defending,正在防御
A Status Tag indicating that the character spends their entire combat turn fighting defensively,一个状态标记，表示该角色在整轮战斗中都在进行防御性战斗
They take no other actions and add their Defend Bonus attribute to their Dodge Attribute when making Defence Rolls,他们不采取其他行动，并在进行防御检定时将他们的防御加值属性加到敏捷属性上
Disease,疾病
A Status Tag indicating that the character is affected by one or more diseases,一个状态标记，表示该角色受到一种或多种疾病的影響
FlatFooted,无戒备
A Status Tag indicating that the character is off their guard,一个状态标记，表示该角色没有戒备
As such they are Vulnerable,因此他们易伤
Immobile,无法移动
A Status Tag indicating that the character cannot move around,一个状态标记，表示该角色无法移动
They may still be able to take other actions and fight but are nonetheless Vulnerable,尽管如此，他们仍然可以采取其他行动并战斗，但仍然易伤
Insanity,疯狂
A character with this status tag does not act in their combat turn,一个带有此状态标记的角色在战斗回合中不会行动
Intoxicated,醉酒
A Status Tag indicating that the character has become #Intoxicated by drugs or alcohol,一个状态标记，表示该角色因药物或酒精而醉酒
Invisible,隐形
A character with this status tag will not be spotted until they attack an opponent or use a spell or ability,一个带有此状态标记的角色在攻击对手或使用法术或能力之前不会被发现
Marked,被标记
This status tag typically interacts with other abilities,这个状态标签通常与其他能力互动
Occupied,占位
A Status Tag indicating that the character is not able to act during their combat turn,一个状态标签，表示该角色在战斗回合中无法行动
Paralysis,麻痹
A Status Tag indicating that the character is unable to move or act in any way,一个状态标签，表示该角色无法移动或以任何方式行动
"While in this state, they are Vulnerable",处于此状态时，他们易伤
Poison,毒药
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Poisoning is cured,具有此状态标签的角色将在每个回合开始时随机受到1至10%最大生命力的伤害，直到中毒被治愈
Stun,眩晕
A character with this status tag cannot act during their combat turn,具有此状态标签的角色在战斗回合中无法行动
They are also vulnerable for the duration,他们在此期间也易伤
To-Hit Roll,攻击命中骰
The To-Hit roll is made by comparing the Attacker’s Attack Roll to the Defender’s Defence Roll,攻击命中骰是通过将攻击者的攻击骰与防御者的防御骰进行比较来投掷的
If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit,如果攻击者投掷的结果等于或高于防御骰，则攻击命中
Tough,坚韧
Short for Toughness,简称坚韧
Vitality per Level,生命值每级
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up",表示角色每次升级时获得的游戏生命值资源，即生命力的数量
Vulnerable,易伤
A Vulnerable character cannot defend themselves,易伤角色无法防御
This makes them much easier to hit and it also means they can be Backstabbed,这使得他们更容易被击中，同时也意味着可以对他们进行背刺攻击
Will,威力
See Willpower,查看意志力
Targets the character themself,目标是角色本身
Targets the character themself,Targets the character him or herself
Targets any ally adjacent to the caster,目标是施法者周围的任何盟友
Targets any opponent adjacent to the caster,目标是施法者周围的任何敌人
Targets any opponent or ally adjacent to the caster,目标是施法者周围的任何敌人或盟友
Targets any ally anywhere on the battlefield,目标是战场上任何位置的盟友
Targets all allies in the Line target area,目标是线性目标区域内的所有盟友
Targets all opponents in the Line target area,目标是线性目标区域内的所有敌人
Targets all opponents and allies in the Line target area,目标是线性目标区域内的所有敌人和盟友
Targets all allies in the Sphere target area,目标是球形目标区域内所有盟友
Targets all opponents in the Sphere target area,目标是球形目标区域内所有敌人
Targets all opponents and allies in the Sphere target area,目标是球形目标区域内所有敌人和盟友
Targets all allies in the Aura target area,目标是光环目标区域内所有盟友
Targets all opponents in the Aura target area,目标是光环目标区域内所有敌人
Targets all opponents and allies in the Aura target area,目标是光环目标区域内所有敌人和盟友
Targets all allies in the Cone target area,目标是扇形目标区域内所有盟友
Targets all opponents in the Cone target area,目标是扇形目标区域内所有敌人
Targets all opponents and allies in the Cone target area,该效果针对锥形目标区域内的所有敌人和盟友
Targets any opponent anywhere on the battlefield,该效果针对战场上任意位置的敌人
Targets all allies on the battlefield,该效果针对战场上的所有盟友
Targets all opponents on the battlefield,该效果针对战场上的所有敌人
Targets all opponents and allies on the battlefield,该效果针对战场上的所有敌人和盟友
Targets any opponent or ally anywhere on the battlefield,该效果针对战场上任意位置的敌人或盟友
Targets any tile anywhere on the battlefield,该效果针对战场上任意位置的格子
Maneuver,操控
Positive Condition,正面条件
Lasts until end of turn,持续到回合结束
Lasts until end of combat,持续到战斗结束
FullRound,全回合
Executes an Attack,执行攻击
If the Attack is successful the following effects target the opponent,如果攻击成功，以下效果针对敌人触发
If the Attack is successful the following effects trigger and target all opponents in the target area,如果攻击成功，以下效果触发并针对目标区域内的所有敌人
Executes an Attack with +4 Accuracy,执行攻击，命中+4
Executes an Attack that is Armor Piercing,执行穿透防具的攻击
Summons one of the following creatures in each target area tile,在每个目标区域格子中召唤以下生物之一
