original,translate
He asked for Whitefern - a sedative,他要我找白蕨——一种镇静剂
Claimed he had trouble sleeping,他说自己睡眠不好
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'",我怀疑他没有完全坦白，被逼问时，他嘟囔着说星星“有些奇怪”
Not sure what he meant and he left before I could push him further,我不太明白他的意思，他在我追问之前就离开了
Written today,写于今天
Men are about to break,人们快要崩溃了
We cannot maintain our course for Idra,我们无法继续航向伊德拉
Captain advised me today to make ready the surgery and to expect casualties,船长今天建议我准备手术，并预料会有伤亡
I suspect he intends to inform our passengers that he refuses to land on the island,我怀疑他打算告知乘客他拒绝在岛上着陆
If this is my last,如果这是我最后的时刻
The entry trails off,这条记录戛然而止
#,#
# Chapter_0,# 第一章
#,#
#IntroBerrynGuard,# 介绍·贝瑞恩岗哨
A guardsman dressed in the livery of the noble house Berryn scowls at you,穿着伯林家族仆从服饰的卫兵对你皱眉
Armsmaster Lyra awaits you at the main entrance,武器大师莉拉在大门等候你
You best talk to her if you've not already done so,你最好找她谈谈，如果你还没有这么做的话
A guardsman dressed in the livery of the noble house Berryn,穿着伯林家族仆从服饰的卫兵
The guard scowls somewhat at you,保安对你皱了皱眉
Armsmaster Lyra awaits you at the main entrance,Armsmaster Lyra awaits you at the main entrance
You best talk to her if you've not already done so,You best talk to her if you've not already done so
You'll find the kitchen in the eastern end of the courtyard,你会在庭院的东端找到厨房
The garden and hedge-maze is to the west,花园和迷宫在西边
And I needn't remind you that it's a poor idea to enter the maze without a lantern,而且我无需提醒你，在没有灯笼的情况下进入迷宫是个糟糕的想法
Have a good evening m'lord,晚安，大人
Have a good evening m'lady,晚安，女士
#IntroCato,#IntroCato
Cato stands - with poorly concealed effort,卡托站了起来，努力掩饰着
And {PLAYER},和 __PLACEHOLDER_0__
"You stand, and meet his gaze",你也站了起来，对视着他
Return her to me,把她还给我
There is no other outcome of this affair,这件事没有其他结果
"Shake his hand, and leave",与他握手，然后离开
"Remain silent, and leave",保持沉默，然后离开
"You have my word, Cato",你有我的一言为定，卡托
LEAVE,离开
Cato Berryn,卡托·贝林
"Cato Berryn sits tall in a tasteful, but modest reception room",卡托·贝林坐在一间雅致但不过分的接待室里，坐姿挺拔
He looks less imposing than you remember - and with a few more crow's feet,他看起来没有你记忆中的那么威严——多了几道眼角皱纹
"Nonetheless, he's lost none of his composure or air of casual authority",不过，他依然保持着从容不迫和随意的权威感
Continue,继续
You take a seat across a formidable desk from him,你坐在他面前那张气势逼人的办公桌对面
"This study, like the rest of the villa, is half-lit, giving a morose cast to its opulence",这个书房，和别墅的其他部分一样，半明半暗，给奢华的环境蒙上了一层阴郁的色彩
"The older man's face creases into a tired, but genuine smile, which momentarily lifts some of the room's oppressive mood",那位年长的男人脸上浮现出疲惫但真诚的笑容，这暂时缓解了房间压抑的气氛
It's a mercy to see you again - your own man and in your prime,再次见到你真是幸运——你仍是自己，而且正处于巅峰状态
"Cato says, before a frown consumes his smile",卡托说，话音未落，笑容就被皱眉取代
It's just a shame our reunion is overshadowed by the fates of those we love,只是遗憾我们重逢的时刻被我们所爱之人的命运所笼罩
"But perhaps, together, we can yet improve our collective circumstances?",但也许，我们能一起改善我们的共同处境？
It's a mercy to see you again - your own woman and in your prime,再次见到你真是幸运——你仍是自己，而且正处于巅峰状态
Why have you summoned me?,你为什么召唤我？
"So, you know my Father is dead",所以，你知道我父亲去世了
"Cato leans forward, hands clasped beneath his chin",卡托向前倾身，双手托着下巴
I shan't deny it,我不会否认
I was saddened to hear of his passing,听到他去世的消息，我感到很悲伤
"Despite everything, I remember him fondly",尽管一切都不顺利，我还是怀念着他
You drove him to drink and mercenary work,你让他酗酒，让他去做雇佣兵的工作
No need to dwell on the past,不必再纠结于过去
"Cato leans back again, and his eyes go distant",凯托又靠回椅背，眼神变得遥远
He failed in his duties,他在职责上失败了
"For an arms-master, there is no greater shame than a lapse of vigilance",对一名武器大师来说，最大的耻辱莫过于疏忽大意
He drove himself into exile,他让自己流亡在外
Lyra shifts slightly behind Cato,利拉微微向凯托身后挪动了一下
"If he failed, then it was never possible to succeed",他失败了，那就永远没有成功的可能
Say nothing,什么也别说
A pregnant pause,一个意味深长的沉默
He failed her,他辜负了她
Your father's exile was a sorrow to me,你父亲的流亡对我来说也是一种悲伤
Yet he could not remain in the household - for Embla's sake,但他无法留在家中——为了埃姆拉
"The loss of a mother is tragedy enough, without being reminded of it",母亲的离去已经足够令人悲伤，不必再被提醒
Embla?,埃姆拉？
Do not hide behind your daughter,不要躲在女儿身后
The past is done with!,过去已经结束了！
Tell me why I'm here!,告诉我，我为什么在这里！
That may be so,这或许是真的
But it is done,但已完成
I regret his loyalty could not be rewarded,我遗憾他的忠诚未能得到回报
Sometimes...the tapestry's weave is not so easy to discern,有时……挂毯的编织并非那么容易辨认
"Cato's face is still mild, yet you sense his tone hardening",卡托的脸色依旧温和，但你感觉到他的语气变得强硬
Fine,好吧
I'm sure we've both moved on,我相信我们都已经向前走了
"By exiling him, you condemned me as well",通过放逐他，你也同样被定罪了
Your anger is understandable,你的愤怒是可以理解的
The hardships you must have suffered on the road are written in your face,你旅途中的艰辛已在你的脸上留下了痕迹
"Such is the cost of mercenary work, I suppose",这大概就是雇佣兵工作的代价吧
But do not presume to understand the forces that were at play,但不要妄图理解那些正在起作用的力量
And still are,以及现在依然在起作用的
"Just tell me why I'm here, old man!",老头，就告诉我我为什么在这里！
"Cato is caught off-guard for a moment, before letting out a deep breath",卡托一时措手不及，随后深吸了一口气
Then the years have bestoweed you with wisdom,那么岁月赋予了你智慧
"I am glad, for it has forsaken the House of Berryn",我很高兴，因为这已经抛弃了伯林家族
Why have you called me here?,你为什么把我叫来？
Embla is missing,伊姆布拉失踪了
"Cato's voice quivers momentarily, betraying his stoic features",卡托的声音暂时颤抖了一下，暴露了他坚毅的面容
"Now I beg of you, {PLAYER}",现在我恳求你，{PLAYER}
Help me find my daughter,帮我找到我的女儿
"Help her return home, where she belongs",帮她回家，那是她应该去的地方
Why me?,为什么是我？
What's happened to her?,她怎么了？
Is it not obvious?,难道不明显吗？
You've clearly grown to inherit your fathers resourcefulness - and besides - Embla has trusted you since before either of you could speak,你显然继承了你父亲的机智——而且，埃姆拉从你们俩还不会说话的时候就开始信任你了
And now the fool has got herself into trouble?,而现在这个蠢货自己闯了祸？
"She left without notice, a week ago",她一周前悄悄离开了
"From the scant clues we had, we believe she boarded a ship bound for one of the Outer Isles, Idra",根据我们有限的线索，我们相信她登上了开往外岛伊德拉的一艘船
She went of her own free will,她是自愿离开的
At the time I thought little of it,当时我以为没什么大不了的
Cato begins to glower,塞托开始皱眉
"Since then, however, there have been 'reports'",但从那以后，却有了‘报告’
Grave ones,严重的报告
Reports?,报告？
Something has been building in her for years,她体内已经酝酿了多年
An 'aptitude' of sorts,一种‘天赋’
But I suspect you already knew?,但我想你已经知道了？
"In any case, it's grown much stronger lately and drives her in ways I cannot understand",无论如何，最近变得更加强烈，驱使她的方式我无法理解
I suspect she is looking for... answers,我怀疑她是在寻找……答案
But why Idra?,但为什么是伊德拉？
An aptitude?,一种天赋？
What am I to do?,我该怎么办？
An aptitude of the worst kind,最糟糕的一种天赋
It does not spring from the canonical Imperial praxis,这并非源自帝国的标准实践
Instead it comes from elsewhere,而是来自其他地方
It is the kind the Empire does not suffer to exist,这种东西帝国是不允许存在的
I hope it's only answers that she seeks,希望她只是在寻找答案
I see,我明白了
What can I do?,我能做些什么？
Why indeed?,确实如此？
There is little on the island save the port of Horryn,岛上除了霍林港外几乎什么都没有
"If Idra was her destination, she must have landed there",如果伊德拉是她的目的地，她肯定是在那里登陆的
Horryn?,霍林港？
What of her 'aptitude'?,她的“天赋”怎么样？
Yes,是的
"An old Imperial port and home to a few hundred whalers, traders and the occasional smuggler",一个古老的帝国港口，住着几百名捕鲸者、商人和偶尔的走私者
"We can only speculate as to what drew her there, but it's our only lead",我们只能猜测是什么将她引向那里，但这却是我们唯一的线索
How can I help her?,我能怎么帮助她？
You mentioned her 'aptitude'?,你提到过她的“天赋”？
"Hire mercenaries, travel to Idra and begin your search in the port of Horryn",招募雇佣兵，前往伊德拉，在霍ryn港开始你的搜寻
"From there, I trust you to do what needs be done",从那里起，我信任你们去做必须做的事
"Spare no cost, just bring back my daughter",不惜一切代价，只要能找回我的女儿
Mercenaries?,雇佣兵？
"The man is a grizzled veteran - he may have slowed with age, but his experience and reliability more than make up for it",这个男人是一位饱经风霜的老兵——他可能因年岁而有些迟缓，但他的经验和可靠性弥补了一切
He's also much respected by similar men - and so will be instrumental in hiring a reliable crew,他也很受同类人的尊敬——因此在招募可靠的船员时将会起到关键作用
I'll take it into consideration,我会考虑的
"I trust your instincts, but I beseech you consider him - he's no great dinner guest, but he's been irreplaceable elsewhere",我信任你的直觉，但恳求你考虑他——他可能不是一个理想的晚餐嘉宾，但在其他地方无可替代
Is that so?,真的吗？
Very well,好吧
"Cato shows you his upturned palms, beseeching,",卡托摊开手掌，恳求道
I know this thing I ask of you is fraught with danger,我知道我要求你们做的事情充满了危险
"But this is your chance at improving your fortune - materially, and in honour",但这给了你们改善命运的机会——物质上的，还有荣誉上的
What say you?,你们怎么看？
I accept - for Embla's sake,我接受——为了埃姆拉
Very well - For my family's name,好吧——为了我家族的名誉
I'll do it,我会做的
For the gold,为了金币
What makes you think I care?,你认为我会在乎？
"A chill draught causes a nearby candle to flicker, and you see the cold mirrored in Cato's features",附近的烛火因一阵冷风而摇曳，你看到卡托脸上映出的冷意
You are not to blame for the decline in your family's fortune,你不必为家族衰落负责
But you could be responsible for restoring it,但你有可能恢复它
We'll see,我们拭目以待
I will be,我会的
"Cato smiles softly, visibly relieved, and for a moment he looks like the man you remember",卡托微微一笑，明显松了口气，有一瞬间他看起来像你记忆中的那个人
Have you any final questions or matters to discuss?,你还有最后的问题或事项要讨论吗？
"Time is, as I'm sure you appreciate, of the essence",时间，正如我相信你所理解的那样，至关重要
Let's just get on with it,我们还是直接开始吧
"If nothing else, the port will be dangerous enough",至少港口本身就很危险
That is why I have summoned a Roland Greyeye to me - a crude but effective sell-sword - that I've made good use of before,这就是我召唤罗兰·灰眼的原因——一个粗犷但有效的佣兵——我以前用过他
He shall accompany you on this task,他将陪同你完成这项任务
Roland Greyeye?,罗兰·灰眼？
I work alone!,我独自行动！
I met the man just before seeing you,我就在见到你之前遇见了那个人
"No one, and no word has left Idra in days",几天来，没有人离开伊德拉，也没有任何消息传出
Rumor has it even the Imperial augurs are in the dark,据说连帝国的占卜师都是一片茫然
"I know not how this touches the fate of my daughter, but she must be returned to me, one way or another",我不知道这如何影响我女儿的命运，但她无论如何都要回到我身边
Any idea why she left?,你知道她为什么要离开吗？
#IntroCellar,#IntroCellar
Empty bottles litter the floor of this room,这个房间的地面上散落着空瓶子
You chuckle to yourself as you imagine the kitchen staff in their wine tasting sessions,你暗自发笑，想象着厨房工作人员在品酒会中的情景
"No doubt, much revelry has taken place here",毫无疑问，这里一定发生过许多狂欢
Then a cool gust of air from the passage to the north,然后从北方通道吹来一阵凉风
The wine cellar lies that way and you can almost hear faint sobbing,酒窖就在那边，你几乎能听到微弱的哭泣声
Ghosts no doubt,灵魂不疑有之
#IntroChef,#IntroChef
Ha!,哈！
The old wretch is too cowardly to come himself so he sends you instead?,这个老家伙胆小如鼠，亲自来肯定不行，派你来倒是挺合适的
The brandy will be the end of him I say,我说，朗姆酒会要了他的命
"Then again, who am I to deny the old fool his few pleasures",当然，谁让我这个老家伙不拒绝他这点乐趣呢
You'll find a crate of fine Gorremian brandy in the north-east corner of the wine cellar,你将在酒窖东北角找到一箱优质的哥雷米朗姆酒
Hold on!,等一下！
Let me see what you made!,让我看看你做的！
Armand excitedly licks his lips,阿朗芒兴奋地舔了舔嘴唇
Present the Sandwich for inspection,请呈上三明治接受检查
The chef offers a short bow and a tired but sincere smile,厨师鞠了个短躬，露出疲惫但真诚的笑容
I am chef Armand and my humble kitchen is at your disposal m'lord,我是厨师阿朗芒，我的卑微厨房随时为您服务，大人
I am chef Armand and my humble kitchen is at your disposal m'lady,我是厨师阿朗芒，我的卑微厨房随时为您服务，女士
Sadly I was told of your arrival only minutes ago and my oven must be fired up again,可惜我刚刚才得知你们的到来，我的烤炉必须重新点燃
You must be famished?,你一定饿坏了？
Indeed I am,的确如此
Splendid!,真棒！
"The pantry is west of the wine cellar, and the cheese is kept in the northernmost room",储藏室在酒窖的西边，奶酪存放在最北端的房间
Return when you have the cured ham and cheddar and I shall provide bread and instructions,等你把熏火腿和切达奶酪拿来，我再提供面包和指示
"Now, venture forth into the underworld!",现在，踏入地底世界吧！
Where is the cellar?,酒窖在哪里？
Kydeon has asked me to fetch him a bottle of brandy,凯德恩让我给他拿一瓶白兰地
Perfect!,太好了！
"First of all, here is some bread",首先，这里有一些面包
"Now, the cauldron is quite empty and just warm enough for you to use",现在，锅已经空了，温度也刚刚好供你使用
Remember,请记住
"You need both the bread, ham and cheese to make the perfect sandwich!",你需要面包、熏火腿和奶酪才能做出完美的三明治！
"Now, go give it a try and bring me the result!",现在，去试试看，把结果带给我！
I shall see if you have it in you!,我要看看你是否有这方面的天赋！
"Chef Armand wanders back and forth, tending the fire and keeping his kitchen tidy",厨师阿曼德来来回回地走动，照料着炉火，保持厨房整洁
He has the gait of a man who has been on his feet for far too many hours,他走路的样子仿佛已经站了太久
I have the ham and cheese!,我有熏火腿和奶酪！
Present the sandwich for inspection,请呈上三明治供我检查
Where is the cellar again?,酒窖在哪里？
Use the hatch in the floor over there!,用那边地板上的舱门！
Armand points towards a wooden hatch by the wall,阿尔曼指向墙边的一个木制舱口
"It's quite dark down there, but there should be a lantern in a chest near the stairs",那里很暗，但楼梯附近应该有一个装着灯笼的箱子
Good luck!,祝你好运！
#IntroMadSailors,#IntroMadSailors
Sailors,海盗
The sailors stare at you wide-eyed and terrified,海盗们瞪大眼睛，惊恐地盯着你
Dead Emperors!,残暴的皇帝们！
It's coming for us!,它朝我们来了！
It whispers to me!,它在我耳边低语！
One of them draws a weapon with shaking hands,其中一人颤抖着手抽出武器
Get away from me!,你离我远点！
Calm yourself - You're guild sailors!,平静下来——你们是公会的海盗！
"Half-insane with terror, the sailors scream and lunge at you!",被恐惧折磨得半疯癫，海盗们尖叫着扑向你！
Attack,攻击
The men stop dead in their tracks - seemingly shocked back from their momentary lapse of sanity by your words,他们突然停下了脚步——显然，你的话让他们从片刻的疯狂中清醒过来
The pair blinks towards you in a moment of indecision and then stumbles up to the main deck and the tumult that seems to be taking place there,这对人犹豫片刻，然后踉跄着走上主甲板，那里似乎正在进行一场混乱
#IntroMonster,#IntroMonster
"You dash towards the ship's fractured rail, dodging holes in the deck and wounded men, beseeching you for help",你冲向船舷的缺口，避开甲板上的破洞和受伤的船员，恳求他们得到帮助
Roland hangs by one arm from the side of the ship,罗兰一只手臂悬挂在船舷边
Try to grab him!,尽力抓住他！
"Before Estavo can smirk in satisfaction, a tentacle whips into the lifeboat, leaving a dark smear against the now buckling hull",在埃斯塔沃露出满足的笑容之前，一只触手猛然抽打向救生艇，留下一道深色的痕迹在现在已经开始变形的船身上。
"Looking up, you see the remaining tentacles high above you, poised for the coup de grace",向上望去，你看到剩余的触手高高悬在你上方，准备给予致命一击。
Abandon ship!,舍弃船只！
"You lunge for Roland's arm, but he loses his grip and your fingers close only around thin air - you missed him by an inch",你扑向罗兰的胳膊，但他已经失去了抓握，你的手指只抓住了虚无的空气——你差了一英寸。
He falls wordlessly downwards,他无声地坠落。
You regard the tentacles with morbid fascination,你以病态的兴致凝视着那些触手。
"Their colouration seems to shift and swim, and their tips are cruelly barbed",它们的颜色似乎在变化，顶端残忍地长着倒钩。
"They sway, almost hypnotically, before crunching into the ship again",它们摇晃着，几乎具有催眠效果，然后又狠狠地撞向船只。
"One of the tentacles narrowly misses you, but the impact sends you flying overboard",一条触手险些击中你，但冲击力将你弹出了船外。
"The impact of the water winds you, the waves pummel you down, the currents beseech you to go deeper",水的冲击让你头晕目眩，波浪将你打下，水流逼迫你潜得更深。
Ever deeper,深入入黑暗。
Peaceful blackness,安静的黑色。
The Terror of Idra,伊德拉的恐怖。
"You rest your sword-arm, and survey the carnage",你放下剑臂，审视着眼前的屠杀。
Then suddenly a loud crash as something collides violently with the hull,突然，一阵巨响，船身剧烈震动，幸存的佣兵和船员们努力保持平衡。
Surviving mercenaries and crewmen alike fight to keep their footing as the ship lurches,突然，巨大的怪异触手从水中冲出，围绕着船只。
"Suddenly, huge, monstrous tentacles burst from the water around the ship",在恐惧袭来之前的一瞬间，你好奇埃斯塔沃此时在想些什么，怪物们正俯视着他。
"For a split-second, before the terror sets in, you wonder what Estavo must be thinking as the monstrosities loom over him",你沿着主甲板踱步，伊德拉的海岸线清晰可见。
"You pace the main deck, as the coast of Idra sails into clear view",你可能保住了船员们的生命，但他们仍然紧张兮兮。
"You may have kept the crew alive, but they're still tense and skittish",你可能保住了船员们的生命，但他们仍然紧张兮兮。
"The ships captain catches your eye, and nods in gratitude",船长的目光与你相遇，他点头表示感激
There is a scream from the crow's nest,鸟巢里传来一声尖叫
"Momentarily, you understand why - huge, monstrous tentacles have burst from the water around the ship",你恍然大悟，原来巨大的怪兽触手从船周围的水中猛然伸出
You hear the captain cry out in terror as one of them wraps around his leg and plucks him from the deck,你听到船长发出恐怖的尖叫，其中一个触手缠住了他的腿，将他从甲板上扯了下来
"After reaching their full height, the tentacles curve inwards and smash into the ship",触手伸展到最大高度后，弯曲着向船体撞击
Some pierce straight through the deck - Others snap the masts like they were matchsticks,有些触手直接穿透了甲板，而另一些则像折断火柴一样折断了桅杆
You stand frozen in place,你呆立在原地
"Through a haze of splintered wood and panicked screams, you notice Roland",在木屑和惊恐的尖叫声中，你注意到罗兰
"He throws himself out of the way of a tentacle, but begins to fall overboard as the ship lurches once more",他躲开了一个触手，但随着船再次摇晃，他开始向船舷外坠落
Go to Roland's aid!,去救助罗兰！
Leave Roland to his fate,让罗兰自生自灭
"Through a haze of splintered wood and panicked screams, you watch as the tentacles rise for another strike",在木屑和惊恐的尖叫声中，你看着触手再次准备攻击
You notice a few of the mercenaries are rushing towards the lifeboats,你注意到有几个佣兵正朝救生艇跑去
Join the mercenaries,加入佣兵
Observe the tentacles,观察触手
You reach the lifeboat just as the mercenaries begin lowering it into the sea,就在佣兵们开始将救生艇放下的时候，你抵达了救生艇
Estavo brandishes his sword at you,Estavo挥剑指向你
I think not,我可不这么认为
Get in!,快上船！
Estavo bellows,Estavo大声喊道
"If you're ok with doubling our fee, of course",如果你同意把费用翻倍，当然可以
You watch as he is swallowed by the raging sea,你看着他被狂暴的大海吞噬
"The ship is listing fatally - and you see the great tentacles high above you, poised for the coup de grace",船只倾覆得极为危险，而你看到高高在上的巨大触手，正准备致命一击
"As you jump, you hear the terrible rending of wood giving in to flesh",你在跳起的一瞬间，听到木材被肌肉撕裂的可怕声音
Roland plummets wordlessly over the ship's rail,洛兰默然从船舷上坠落
"Meanwhile, you notice a few of the mercenaries are rushing towards the lifeboats",同时，你注意到有几个雇佣兵正朝救生艇跑去
Follow the mercenaries,跟随雇佣兵
...............,...............
Sink,沉没
#IntroMutiny,#叛变开场
"The mercenary leader, Estavo, flicks his dark eyes to you, but keeps his blade fixed on the desperate captain",雇佣兵首领埃斯托瓦将他深邃的眼睛转向你，但手中的刀依然对准了绝望的船长
There's a reason he's known as 'Fireblood' to his men,他之所以被称为“烈血”是因为他的手下都这么称呼他
Estavo,埃斯托瓦
You'll get your money but let me handle this,你会拿到报酬，但让我来处理这件事
Estavo - enough of the theatrics,埃斯托瓦 - 别再演戏了
A cruel smile twitches into life on Estavo's wind-weathered face,埃斯托瓦的风霜脸颊上浮现出一丝残忍的微笑
There's only one rich noble girl,只有一个富有的贵族小姐
But we can always find more sailors,但我们总是能找到更多的水手
The ship's captain bristles at these words,船长听了这话，怒气冲冲
"Captain, why have we not dropped anchor?",船长，我们为什么不抛锚？
Mutiny,造反
"You emerge onto the deck, and see two groups of men facing each other with weapons drawn",你出现在甲板上，看到两组人马面对面持械对峙
The ship shakes violently in the grip of a storm as lightning tears across the sky,船在暴风雨中剧烈摇晃，闪电划破天空
There is desperation in the captain's voice,船长的声音充满绝望
We are seasoned sailors - we do not balk at shadows!,我们是老海员，我们不畏惧阴影！
You need to be alive to rescue this girl you speak of!,你要救那个女孩就必须活着！
We're out of time,时间不多了
"Sail us in, or argue the point with Estavo",操纵船只靠岸，否则就和埃斯塔沃争论吧
"You speak sense, Perhaps it is better to turn around?",你说得有道理，或许我们应该掉头？
Estavo!,埃斯塔沃！
Have at it!,攻击吧！
A few of the ship's crew lower their weapons,几个船员放下了武器
"The captain's eyes flit between you, and Estavo's murderous grin",船长的眼睛在你和埃斯塔沃那杀气腾腾的微笑之间来回闪烁
"He sheathes his blade and speaks softly, his voice barely audible over the snapping sails",他收起刀，低声说道，声音几乎被哗哗作响的帆布盖住了
So be it,既然如此
May the deep have mercy,深渊保佑
You gain 300 XP,你获得300经验点
Hah!,哈哈！
Theatrics you say?,你说这是戏剧？
It is not my men who cower like children!,不是我的手下像孩子一样畏缩！
For what?,为什么？
Shadows in the water?,水中的阴影？
Shadows will not keep me from my pay!,阴影不会阻止我拿到报酬！
I refuse to stand by and let you butcher the crew,我拒绝袖手旁观，看着你屠杀船员
Do as you wish,按你的意思办
Estavo's grin begins to show teeth as he hears your words,当你的话传入耳中，埃斯塔沃的笑容开始露出牙齿
The color drains from the Captain's face,船长的脸色瞬间变得苍白
There is a moment's silence then a crash and a shudder as something strikes the ship's hull,有一阵沉默，然后传来一声巨响和船身的震动，似乎什么东西击中了船体
"In the confusion, a mercenary's throwing dagger flies; lodging in a sailor's throat",在混乱中，一名佣兵的投掷匕首飞出，插在了一名水手的喉咙里
Fight the crew,抵抗船员
"Estavo lets out a short, hoarse laugh",埃斯塔沃发出一声短促而嘶哑的笑声
"Danger, I don't mind",危险，我不介意
Working for fools - that's how people get killed,给傻瓜打工——这就是人们送命的方式
"Before you can reply, Estavo whistles, and his men charge at you and the ship's crew!",就在你还没来得及回应，埃斯塔沃吹了一声口哨，他的手下们冲向了你和船员们！
Fend off the mercenaries,抵挡佣兵
"Amidst the din of the storm and their frantic arguments, you bellow for the attention of the assembled crewmen and mercenaries",在暴风雨的喧嚣声和他们激烈的争论中，你高声呼喊，试图吸引船员和佣兵们的注意
"Both the ship's Captain, and the leader of the mercenaries you hired - a coarse, thug of a man named Estavo - turn their attention to you",船长和你雇佣的佣兵们的首领——一个粗鲁的打手埃斯塔沃——都把注意力转向了你
They look ready to use the unsheathed weapons in their hands at the slightest provocation,他们手中的武器已经出鞘，只要稍有挑衅就会使用
Address the ship's captain,与船长对话
Address the mercenary leader,与佣兵首领对话
You direct your attention to the ship's captain,你将注意力转向那艘船的船长
"You know him to be a reasonable, but suggestible man",你了解他是个理性但容易被说服的人
"At present, his usually placid eyes are wild with panic - or anger",目前，他平时平静的眼睛充满了惊慌——或者愤怒
I paid you for passage to the shore - did I not?,我已经付了你登岸的船费——不是吗？
Why have we not dropped anchor?!,为什么我们还没有抛锚？
"The captain lowers his weapon, and speaks earnestly",船长放下武器，认真地说
The coast of Idra is cursed!,伊德拉海岸被诅咒了！
"We'd heard tales, and assumed them grog-drenched rumors only - but there is something between us and the shore that will drag us all to a watery grave!",我们听说过这些传说，以为只是醉酒后的谣言——但现在我们和岸边之间有什么东西会将我们所有人都拖向水中的坟墓！
What are you talking about?,你在说什么？
What have you seen?,你看到了什么？
"We must sail on, to land and the girl",我们必须继续航行，前往岸边和那个女孩
Something dire stalks these shores,有一种可怕的生物在这片海岸上徘徊
We cannot approach without risking the ire of that horror,我们无法靠近，否则会激怒那个怪物
A jittery mutter of agreement rises from the sailors causing Estavo's eyes to darken even further,水手们紧张地附和，埃斯塔沃的眼神变得更加阴沉
What horror?,是什么怪物？
Captain!,船长！
Take us closer or there will be consequences!,把船开近一些，否则会有后果！
Naught but glimpses,只是瞥见而已
"My men have seen the shadow of something deep in water, stalking us",我的船员们看到了水下某个深邃阴影的影子，它在追逐我们
Nothing natural moves like that,没有什么自然的东西会那样移动
Estavo glares murderously at the captain,我怒视着船长。
You renege on our deal based on a glimpse?,你基于一瞥就反悔我们的交易？
Foolish superstition!,荒谬的迷信！
Take us in now!,现在带我们上岸！
Do as you wish!,你想怎么做就怎么做！
Estavo turns his steely gaze from you to the captain,埃斯塔沃将他冰冷的目光从你转向船长。
"Let me spell this out for you, sea-dog - we contracted to rescue the girl",让我来为你解释一下，海狗——我们是受雇来救那个女孩的。
"But if you don't get us to the shore, we'll gut you for free",但是如果你不把我们带到岸边，我们会免费把你开膛破肚。
The mercenaries you hired all shift their weight in anticipation of making good on that promise,你雇佣的雇佣兵们都开始移动，准备兑现他们的诺言。
Captain - he's right,船长——他说得对。
Do what you were hired to do!,做你受雇要做的事情！
Convince the man!,劝服那个人！
Something changes in the Captain's expression,船长的表情有所变化。
He stands tall,他站得笔直。
I will not order my ship and my men to certain doom!,我不会命令我的船和我的手下走向必死的命运！
We shall not get any closer to the coast while I have command,在我掌舵期间，我们不会靠近海岸。
I'm sorry captain,对不起，船长。
You leave us no choice,你让我们别无选择。
"I defer to your judgement, captain",我服从你的判断，船长。
Estavo - stand down,埃斯塔沃——退下。
I believe you - but my contract with these men does not mention your survival,我相信你，但与这些人的契约中并没有提到你的存活
