original,translate
2d6 + Misc Bonuses + Dodge,2d6 + 其他加值 + 闪避
Attribute - Defence,物理防御
The ability to avoid incoming attacks and other reflex-based dangers,避免 incoming 攻击和其他反应性危险的能力
"In other words, this determines how hard a character is to hit",换句话说，这决定了角色被击中的难度
MELEE TO HIT,近战命中
Attribute - Combat,物理战斗
The character's skill at attacking with melee weapons,角色使用近战武器的技巧
Determines hit chance,确定命中几率
RANGED TO HIT,远程命中
The characters skill at attacking with ranged weapons,角色使用远程武器的技巧
ACCURACY,精确度
Accuracy is added to an attacker's Attack Roll when trying to hit an opponent,精确度在尝试击中对手时会增加攻击掷骰
Accuracy is typically derived from a weapon's quality,精确度通常来源于武器的质量
CRT Filter,CRT 过滤器
Screen Mode,屏幕模式
Windowed Mode Scale,窗口模式缩放
VSync,同步垂直刷新
Classic Console,标准控制台
Fancy Lighting,精美照明
Weather Effects,天气效果
Screen Shaking,屏幕震动
Full,全屏
Off,关闭
Display Settings,显示设置
CRT FILTER,CRT 过滤器
"This feature should only be disabled if you experience performance issues. Editors note: As of patch 1.0.7, hovering over this option results in a temporary slow-down that may persist until you exist this options window. Try pressing the 1 or Esc key to quit quickly! ",除非遇到性能问题，否则请勿禁用此功能。编辑者注：自补丁1.0.7起，悬停在该选项上会导致暂时的运行缓慢，直到您退出该选项窗口前可能持续存在。尝试快速按下1或Esc键退出！
Soft,软件
Classic,标准
High-End,高端
Arcade,游戏厅
Kitchen TV,家用电视
Mini CRT,小 CRT
Old TV,旧电视
Broken B/W,黑白电视（损坏）
SCREEN MODE,屏幕模式
Allows the game to be played in full screen or windowed mode,允许游戏以全屏或窗口模式运行
WINDOWED MODE SCALE,窗口模式缩放
The scale of the window when run in Window mode,窗口模式下的窗口缩放比例
VSYNC,VSYNC
VSync prevents artifacts such as screen tearing,VSync可以防止屏幕撕裂等伪影
CLASSIC CONSOLE,经典控制台
The console uses the classic C64 color theme,控制台使用经典的C64颜色主题
FANCY LIGHTING,精致照明
If enabled it will use the game’s blended lighting system,如果启用，将使用游戏的混合照明系统
This is the intended experience,这是预期的游戏体验
This feature should only be disabled if you experience performance issues,如果遇到性能问题，才应禁用此功能
WEATHER EFFECTS,天气效果
If enabled the game will render weather effects like fog and rain,如果启用，游戏将渲染如雾和雨等天气效果
Disabling this option may increase performance,禁用此选项可能会提高性能
SCREEN SHAKING,屏幕震动
Whether or not to allow the screen-shake visual effect,是否允许屏幕震动视觉效果
Windowed,窗口模式
Music Volume,音乐音量
Sound FX Volume,音效音量
Audio Settings,音频设置
MUSIC VOLUME,音乐音量
The volume of the soundtrack,音轨的音量
SOUND FX VOLUME,音效音量
The volume of the sound effects,音效的音量
Re-Assign,重新分配
Key Bindings,键位绑定
Spellbook,魔法书
SPELLBOOK,魔法书
G,G
This binding can be changed,此绑定可以更改
Character Sheet,角色表
C,C
Console,控制台
Tab,标签页
Feats,成就
F,F
Feedback,反馈
F2,F2
Hide,隐藏
LeftCont,左控制
Highlight,高亮
LeftShif,左Shift
Inventory,背包
E,E
Level Up,升级
L,L
Light Torch,点燃火炬
T,T
Move E,向东移动
D,D
RightArr,向右箭头
Move N,向北移动
W,W
UpArrow,向上箭头
Move S,向南移动
S,S
DownArro,向下箭头
Move W,向西移动
A,向左箭头
LeftArro,下一个角色
Next Character,Q
Q,Q
Quests,任务
J,J
Quick Load,快速加载
F9,F9
Quick Save,快速保存
F5,F5
QUICK SAVE,快速保存
QUICK LOAD,快速加载
QUESTS,任务
MOVE W,向西移动
LEFTARRO,左箭头
NEXT CHARACTER,下一个角色
MOVE S,向南移动
DOWNARRO,下箭头
MOVE N,向北移动
UPARROW,上箭头
MOVE E,向东移动
RIGHTARR,右箭头
LIGHT TORCH,点燃火炬
LEVEL UP,升级
INVENTORY,背包
HIGHLIGHT,高亮
LEFTSHIF,左键
HIDE,隐藏
LEFTCONT,左侧内容
FEEDBACK,反馈
FEATS,特技
CONSOLE,控制台
TAB,选项卡
CHARACTER SHEET,角色表
Assigning key,指定快捷键
"Press ENTER or ""Re-Assign"" when done!",完成时按回车或“重新指定”！
Enter new key,输入新快捷键
Components,成分
Description Font,描述字体
Description Color,描述颜色
Quote Color,引用颜色
Description Shadow,描述阴影
Draw Outline,绘制轮廓
Text Background Color,文本背景色
Font,字体
Color,颜色
Font Settings,字体设置
DESCRIPTION FONT,描述字体
The font used for most descriptions,大多数描述使用的字体
This is what a quote looks like,这是一个引用的样子
DESCRIPTION COLOR,描述颜色
The color of the main descriptive text,主要描述文本的颜色
QUOTE COLOR,引用颜色
The color of the main descriptive text that is displayed in quotation marks,在引号中显示的主要描述文本的颜色
DESCRIPTION SHADOW,描述阴影
The color of the main descriptive text's drop-down shadow,主要描述文本的下拉阴影颜色
DRAW OUTLINE,绘制轮廓
Draws an outline around the letters instead of a drop-down shadow,用轮廓包围字母而不是下拉阴影
TEXT BACKGROUND COLOR,文本背景颜色
The color of certain UI-elements behind text,文本背后某些UI元素的颜色
Adjust this to increase the contrast between text and background,调整此设置以增加文本与背景之间的对比度
Dark,深色
Black,黑色
Launch,启动
Get More Content,获取更多内容
Back,返回
empty,空白
Load Module,载入模块
LOAD,载入
Copy,复制
Rename,重命名
Delete,删除
Load Game,载入游戏
Game Loaded!,游戏已载入！
AUTO_SAVE,自动保存
Save Date,保存日期
Save Time,保存时间
Main Char,主角
Save Game,保存游戏
OK,确定
Type a name and press 'OK'!,输入名称并点击“确定”！
OVERWRITE,覆盖
Type a name and press 'Save'!,输入名称并点击“保存”！
Name must be between 3 and 60 characters long and must be a valid file-name,名称必须在3到60个字符之间，并且必须是有效的文件名
Are you sure you want to delete the following save,你确定要删除以下存档吗？
Rigurt,瑞吉特
Level,级别
Map,地图
Game Date,游戏日期
Day,天数
Version,版本
Module,模组
Against the Black Priory,对抗黑修道院
Do you really want to quit the game?,你真的要退出游戏吗？
Unsaved progress will be lost,未保存的进度将会丢失
Choose a visual style,选择视觉风格
DEFAULT is recommended,默认推荐
This can also be customized in the SETTINGS menu,你也可以在设置菜单中进行自定义
Default,默认
To-Hit,命中
The skin of the dice being rolled during skill-tests,技能检定时所用骰子的外观
Toggles the special ‘nostalgic UI’ that may remind you of classic RPG series we all know and love,开启特殊的“怀旧UI”，可能会让你想起我们所熟知和喜爱的经典RPG系列
Activating this filter gives the game a fuzzy retro look,启用此滤镜会使游戏呈现模糊复古的外观
An empty save-slot,空存档槽
Are you sure you want to overwrite the following save,你确定要覆盖以下存档吗？
#Credits,# credits
"For Sofie, Amalie and Kathrine",为了索菲、阿马莉和凯瑟琳
WRITTEN AND DEVELOPED BY,由...编写和开发
PUBLISHED BY,由...发行
Raw Fury,Raw Fury
WITH FINANCIAL SUPPORT FROM,由...提供资金支持
Innovation Norway,创新挪威
Norwegian Film Institute,挪威电影学院
PRODUCED BY,由...制作
ART,视觉艺术
KEY ART,关键艺术
MUSIC,音乐
SOUND FX,音效
ADDITIONAL WRITING,额外编写
ADDITIONAL CODIING,额外编码
A special thanks to NAIVE,特别感谢NAIVE
for their work on,他们对
the Skald Trailer,酋长预告片
A special thanks to ARTISTRY,特别感谢ARTISTRY
the Launch Trailer,发布预告片
CROWDFUNDERS,拥挤者
DARK LORD TIER,暗主层级
DEITY TIER,神明层级
IMPERATOR TIER,统治者层级
HIGH WIZARD TIER,高阶法师层级
LORD OF THE REALM TIER,王域之主层级
KNIGHT TIER,骑士层级
FREEMAN TIER,自由民层级
RAW FURY,原始怒焰
Special Thanks,特别感谢
Daniel Jonsson,丹尼尔·约恩松
Alexandre Billaud,艾力克斯·比拉杜
KM Troedsson,KM 特罗德松
Special Mention,特别鸣谢
QLOC S.A,QLOC S.A
General Manager,总经理
Head of Business Development,商业发展总监
Senior Business Development Manager,高级商业发展经理
Director of Quality Assurance,质量保证总监
QA Operations Manager,质量保证运营经理
Lead QA Project Manager,质量保证项目经理主管
QA Lab Managers,质量保证实验室经理
Piotr Badurek,皮otr·巴杜雷克
Emil Lubowicki,埃米尔·卢布维茨基
Gabriela Malinowska,加布里埃拉·马利诺夫斯卡
Tomasz Prusicki,托马斯·普鲁希基
Learning & Development Manager,学习与发展经理
Learning & Development Coordinator,学习与发展协调员
Learning & Development Specialists,学习与发展专家
QA Team Leader,质量保证团队负责人
Marcin Oprzadek,马辛·奥普扎德克
QA Testers,质量保证测试员
Patryk Osowiecki,帕特里克·奥索维茨基
Dawid Salamadry,大卫·萨拉马德里
Bosong Zhou,博松·周
IT Director,IT总监
Artur Szczurzynski,阿图尔·什切鲁津斯基
