original,translate
I’ll need to send lay-brother Theo to recover it next time Auran is sleeping,下次哥伦睡觉时，我得派临时修士西奥去取回钥匙
Sea-Caves,海洞
The sea-caves lie abandoned and closed off,海洞被遗弃且封闭
Scribbled in a shaky hand on ancient parchment is the following verse,古旧羊皮纸上用颤抖的笔迹写着以下诗句
Walk the path in humble fate Contemplate the hidden gate,踏着谦卑的道路前行 寻找隐藏的门户
Let the watchers show the way Like time flows ‘round the wheel of day,让守望者指引道路 就像时间在日夜轮回中流转
To heed the silent sleepers call And enter into the Dreaming Hall,听从沉默守卫的呼唤 并进入梦境殿堂
Ink and Paper,墨水和纸张
Ink and paper that appears to have been abandoned mid-use,看起来像是有人在中途放弃的墨水和纸张
It seems someone was copying the mosaic on the floor,看起来有人在抄写地上的镶嵌图案
Grotesque Relief,怪诞浮雕
The sarcophagus has the following description,这具石棺有这样的描述
Carroleth the Manyfaced - First Grandmaster of the Order of the Crystal Eye,卡罗莱特·多面体 - 晶眼秩序的第一代首席大师
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,灰色罗特拉克斯 - 晶眼秩序的第二代首席大师
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,卡拉马尔智者 - 光之眼秩序第三代大祭司
Secret Passage,秘道
The relief of this altarpiece seems to shift and squirm in the dancing light,这座祭坛的浮雕似乎在舞动的光影中扭曲移动
"What’s more, there appears to be a hidden passage behind it",更重要的是，似乎有一条隐藏的通道在其后方
No way of opening it can be seen nearby,附近没有发现开启它的方法
Pile of Ash,堆积的灰烬
This cave opens up into the sheer cliff wall beneath the tower,这个洞穴通向塔下陡峭的悬崖壁
Piled on the ledge is a great heap of ash that the wind occasionally carries away in great wisps,堆积在突出的岩壁上的是大量的灰烬，偶尔被风卷走，形成缕缕灰烬
Carefully you prod the pile only to find a small handful of scorched human bones and teeth,轻轻触碰这堆灰烬，却发现少量烧焦的人类骨骼和牙齿
"Looking around, you see a great in the ceiling above from which the ash appears to have been dumped",四周观察，你发现上方的天花板有一个大洞，灰烬似乎是从那里倾倒下来的
"A large square slab with small holes carved in it appears to be placed over some sort of shaft, sealing it shut",一个带有小孔的大方形石板似乎覆盖在一个通道上，将其密封
You attempt to look through one of the holes but are knocked back by an unbearable stench emitting from below,你试图从一个孔中窥视，却被下方无法忍受的恶臭击退
But wait?,等一等？
Was there something else?,还有其他东西吗？
Movement?,有动静吗？
The slab seems too heavy to lift and just as well,这块石板太重，无法移动，而且最好如此
You have an overwhelming feeling that what is trapped in the shaft below was not meant for mortal eyes to see and is best left in the dark,你有一种强烈的预感，认为被封在下方通道中的东西不应该被凡人的眼睛看到，最好让它留在黑暗中
A Desk,一张书桌
A desk with a maritime navigation map,一张航海图的书桌
The map is labled 'The Outer Isles' and a course is drawn towards an island named 'Idra',地图上标记着“外岛”，并绘制了一条通往名为“伊德拉”的岛屿的航线
A Grisly Scene,残酷的场景
You recognize the corpse of one of the crew-mates,你认出这具尸体是船员之一
A young man of barely 16 years called Sullum,一个 barely 16 岁的年轻人，名叫 Sullum
The youth has been mauled to death by what you assume are the grotesquely altered rats you encounterd just minutes ago,这个年轻人被你刚才几分钟前遇到的那些畸形的大老鼠残害致死
The corpse is still warm,尸体仍然温热
#Interactables,#交互物
A Cat,一只猫
A cat watches you intently,一只猫正盯着你看
Chain,链条
Beehive,蜜蜂巢
Benches,长凳
Drinks,饮料
Food,食物
A King in Yellow,黄色之王
Stage,舞台
Stairways,楼梯
Mine Entrance,矿井入口
Grindstone,磨刀石
A grindstone used for sharpening weapons,用于磨砺武器的磨刀石
Entrance to Tunnels,地下隧道入口
The Fishermen's Gate,渔人之门
A Prisoner,狱卒
Dead Horse,死马
Scraps of Meat,骨头碎片
Jakub and Ella,雅各布和埃拉
The Ganglion,脑球
A Well,一口井
Dessicated Corpse,干尸
Ladder,拉梯
Telescope,望远镜
Cato's Study,塞托的书房
Prisoner,狱卒
A Map,地图
Faulty Support,不稳固的支撑
Weakened Wall,裂墙
Mole Burrow,鼹鼠洞
A Monolith,巨石碑
Portcullis,门吊
Ancient Monolith,古代巨石碑
Golden Tomb,金墓
Gong,钟
A Statue,一座雕像
Rope,绳索
A Painting,一幅画
Helm,头盔
Shrine of Agility,敏捷神龛
Shrine of Fortitude,坚韧神龛
Shrine of Intellect,智慧神龛
Shrine of Presence,威严神龛
Shrine of Strength,力量神龛
Driina,德鲁伊尼
Pool,水池
A Stange Statue,一座奇怪的雕像
Console,控制台
Strange Basins,奇怪的浴盆
Vomit Cap cluster,呕吐帽群
Waterfall,瀑布
Winch,绞盘
Drainage,排水系统
Elevator,升降机
A Strange Machine,奇异的机器
Protoplasmic Catalyzer,原生催化器
Book,书籍
Reflecting Pool,反光池
#LightSources,#光源
Bees,蜜蜂
Brazier,烛台
Camp Fire,露营火
Candles,蜡烛
Candle,蜡烛
Flies,苍蝇
Fire,火焰
Fireflies,萤火虫
Glow Globe,发光球
Model,模型
Lightcaster,发光器
Stake,撬棍
Torch,火把
A torch hangs on the wall,一支火把挂在墙上
Light,光源
#Pickups,#拾取物
Carrots,胡萝卜
Cheese Wheel,奶酪轮
Fish,鱼
Gullyfern,谷地蕨
Legionnaire’s Rest,雅典卫士之息
Sorrow-Eater,悲伤吞噬者
Starspawn,星裔
Sunmouth,日口
Apples,苹果
Pears,梨
Eggs,鸡蛋
Cured Hams,风干火腿
Lantern,灯笼
Leeks,韭菜
Patch of Cavechild,洞穴孩子之斑块
Patch of Glowmen,发光人之斑块
Fellbell,跌铃
Laughtercap,笑菇
Morel,牛肝菌
Punny Bun,笨笨卷
Wyrdloaf,奇缘面包
Bird's Nest,鸟巢
Onions,洋葱
Pick-Axe,开山镐
Potatos,土豆
Ripe Pumpkin,成熟南瓜
Recipe,食谱
Rotten Log,腐朽木头
A Badge,一枚徽章
Shovel,锄头
Vessels,容器
Lotus Pool,莲花池
#TestProps,#测试道具
Broken Bridge,断桥
The bridge ahead is broken,前方的桥梁已经断裂
Perhaps you can jump the gap?,也许你可以跳过这个缺口？
Climbing Holds,攀爬点
You can climb down this wall,你可以攀下这面墙
You can climb the wall ahead,你可以攀上前面的墙
Stack of Boxes,箱子堆
#Triggers,触发器数量
{notHasJournalEntry|JOU_CrabCaveEntrance},__PLACEHOLDER_0__
A Survivor,幸存者
#Warps,转移数量
Entrance,入口
Stairs,楼梯
A set of stairs leading to the deck above,通往上层甲板的楼梯
Stairs Up,楼梯上
Cave Entrance,山洞入口
Exit,出口
A set of stairs leading to the deck below,通往下层甲板的楼梯
Stairs Down,楼梯下
Trapdoor,陷阱门
Castle Entrance,城堡入口
Castle Exit,城堡出口
Catacomb Entrance,坑道入口
Exit to Temple,神殿出口
Grate,栅栏
Secret Door,秘道
Firgol,菲戈尔
Adler's Helm,阿德勒的头盔
Horryn,哈罗因
A Hidden Glen,一个隐秘的溪谷
Abandoned Farm,一座废弃的农舍
A Refugee Camp,一个难民营地
A Forest Glade,一片森林空地
The Wreck of the Zephyr,海风号的残骸
A Lighthouse,一座灯塔
The Black Priory,黑色修道院
Sea Caves,海洞
A Tower,一座塔楼
Rope and Bucket,绳索和桶
Ladders,梯子
#WorkBenches,#工作台
Workbench,工作台
Alchemist's Tools,炼金术士工具
A cauldron for cooking,一个烹饪用的锅
Pot,锅
An pot that can be used for cooking,一个可以用作烹饪的锅
Oven,烤炉
An oven that can be used for cooking,可用于烹饪的烤炉
A Comfortable Camp,舒适营地
A Rough Camp,粗糙营地
Party Management,队伍管理
