original,translate
Searing Lash,燃烧鞭笞
Aura of Fire Resistance,抗火光环
Fire Warrior,火焰战士
Force of Nature,自然之力
Fortify Awareness,提高感知
Fortify Will,提高意志
Mark of Haste,速战标记
Mark of Heroism,英勇标记
Hammer of Light,光明之锤
Holy Judgement,圣裁之决
Holy Lance,圣枪
Hysterical Blindness,疯狂失明
Curse of Ensnarement,束缚之诅咒
Instil Courage,勇气灌注
Mark of Invisibility,隐形标记
Greater Lay on Hands,超级治疗术
Minor Lay on Hands,小型治疗术
Moderate Lay on Hands,中级治疗术
Lesser Regeneration,次级再生
Mark of Illumination,照明标记
Holy Light,圣光
Lightning Strike,雷击
Magic Missile,魔法飞弹
Web of Roots,根之网
Sublime Projection,神秘投影
Pestilence,瘟疫
Poisoned Globe,魔法毒气球
Purge Invisibility,清除隐形
Purge Magic,清除魔法
Greater Regeneration,超级再生
Corporeal Restoration,肉身复原
Mental Restoration,心神复原
Serpent's Grace,蛇之优雅
Arcane Shockwave,法术震波
Steal Breath,嗜息
Mark of Lethargy,疲惫标记
Mass Lethargy,大范围疲惫
Stoneskin,岩石之肤
Stunning Aura,震惊光环
Stunning Touch,震惊触碰
Summon Giant Insect,召唤巨虫
Summon Magmite,召唤熔铁
Summon Ooze,召唤黏液
Summon Vermin,召唤害虫
Swarm of Gnats,蚊群群集
Thunderclap,雷鸣一击
Touch of Condemnation,定罪触碰
Touch of Confusion,混乱触碰
Touch of Weakness,虚弱触碰
#Triggered Abilities,#触发能力
Arcane Rush,神秘突袭
"The first time you take Wound Hit point Damage each combat, you automatically regain 30-40 Attunement Points",每次战斗中首次受到创伤伤害时，你自动恢复 30-40 精通点数
Crippling Finesse,致命巧劲
"When scoring a Backstab hit using a Light Weapon, the targets gets a random injury Condition",使用轻武器进行背刺命中时，目标会受到一种随机的创伤状态
Rending Blow,剥皮一击
Critical Hits with an Axe causes Injury Conditions,使用战锤造成致命一击时，目标会受到创伤状态
Deep Cut,深割
Your Critical Hits using Blades cause Bleeding on your target,使用刀剑造成致命一击时，会使目标流血
Red Arcs,红色弧线
Scoring a Critical Hit with a Light Blade causes you to restore 1 Attack,使用轻剑造成致命一击时，你会恢复一次攻击
Rapid Reload,快速装填
"If you score a Critical Hit with a Bow, you immediately regain 1 attack",使用弓造成致命一击时，你会立即恢复一次攻击
Kneecap,膝击
Critical Hits with a Club causes The Injured Leg condition,使用战锤造成致命一击时，会使目标的腿部受伤
Weaving Blade,缠绕刀锋
Dodging a Melee Attack whilst armed causes you to deal a small amont of Slashing Damage to your attacker,避开近战攻击时，你会对攻击者造成少量割伤伤害
Felling Strike,摧毁一击
Weakly Infections,弱感染
Your unarmed attack may cause disease in the target,你的徒手攻击可能会使目标感染疾病
Decapitation,断头一击
The gruesomeness of your Axe-Kill causes the Fear condition in all opponents who can see it,你的屠斧造成的恐怖使所有能看到它的对手陷入恐惧状态
Cleave,断头斩
Killing an opponent using a Heavy Melee Weapon restores 1 Attack,使用重型近战武器击杀对手可恢复1次攻击
Inspiring Kill,激励击杀
"When killing an Opponent in Armed or Unarmed Melee combat, all Allies who witness the kill get the Inspired Condition for 1 Turn",在近战武器或徒手格斗中击杀对手时，所有目睹击杀的盟友将获得激励状态1回合
Replenishing Takedown,补给性撂倒
"Killing a Marked Target, heals the party a small amount",杀死标记的目标可为队伍恢复少量生命值
Magnificent Takedown,雄伟撂倒
"When killing a Marked target, all Allies who witness the kill get the Inspired Condition for 1 Turn",在近战武器或徒手格斗中击杀标记的目标时，所有目睹击杀的盟友将获得激励状态1回合
Bleeding Strike,出血打击
Greater Bleeding Strike,强化出血打击
Lesser Bleeding Strike,轻型出血打击
Acid Burst,酸性爆炸
Sommon Abomination,召唤异物
Lesser Poison Attack,轻型毒攻击
Moderate Poison Attack,中型毒攻击
Strong Poison Attack,强烈毒攻击
Stunning Strike,令人眩晕的打击
Steal Life,吸取生命
Shield Slam,屏障重击
"Whilst wielding a shield, dodging a melee attack causes you to deal 1-4 Blunt damage to your attacker",持盾时，闪避近战攻击会使你对攻击者造成1-4点钝击伤害
Smashing Charge,破甲冲锋
Your Charges cause 1-3 additional Blunt Damage,你的冲锋造成1-3点额外钝击伤害
Hidden Deployment,隐形布阵
You start combat Hidden,你开始战斗时处于隐形状态
Smoke Bomb,烟雾弹
"The first time you're Wounded each combat, you automatically hide",每场战斗中你首次受伤时，你将自动隐形
Not Today!,今天不！
"The first time you take Wound Hit point Damage each combat, you automatically regain 12-18 Vitality Hit Points",每场战斗中你首次受到伤痕点数伤害时，你将自动恢复12-18点活力点数
#Abilities Tab,#能力标签
Maneuver Abilities,战术能力
Triggered Abilities,触发能力
Passive Bonus Abilities,被动增益能力
