original,translate
A bonus in pounds added to the character’s Carrying Capacity,一个以磅为单位的加成，增加角色的负重能力
Charge Bonus,冲刺加成
"If a character is charging, this bonus is added on top of the base charge bonus",如果角色正在冲刺，此加成将基于基础冲刺加成之上
The charge bonus is added to the following attack’s To Hit and Damage roll,冲刺加成会加入随后攻击的命中和伤害骰子
Defend Bonus,防御加成
The bonus that is added to a character’s Dodge value when performing the Defend action,当执行防御动作时，此加成会增加角色的闪避值
Flanking Bonus,侧翼攻击加成
The bonus that is added to a character’s To Hit roll when attacking a Flanked opponent,当攻击侧翼的敌人时，此加成会增加角色的命中骰子
Loot Bonus,战利品加成
This attribute provides a percentage bonus increase of the amount of gold you find by looting corpses after combat,该属性提供一个百分比加成，增加你在战斗后掠夺尸体时找到的金币数量
Movement,移动
The number of tiles a character can move during a single combat turn and still attack,一个角色在一整个战斗回合中可以移动的格数，同时还能进行攻击
Phalanx Bonus,方阵加成
"If wielding a shield, you get a bonus to Dodge for each adjacent ally up to your Phalanx value",如果持有盾牌，你将获得一个基于方阵值的闪避加成，每个相邻的盟友都会增加此加成
This means that you do not get any such bonus if your bonus is,这意味着如果你的加成值为零时，你将不会获得任何此类加成
Regeneration,重生
"If above 0, you regain a number of Vitality points at the beginning of each combat turn equal to your Regeneration score",如果重生值大于0，你在每次战斗回合开始时恢复等同于你的重生值的生命值
Retribution,报复
"If above 0, you deal damage equal to your retribution score to any opponents that score a melee attack hit against you",如果报复值大于0，你对任何对你造成近战攻击命中的对手造成等同于你的报复值的伤害
Natural Soak,天生抗性
Natural soak represents soak derived from a thick skin or unnaturally high resistance to physical damage,天生抗性代表由厚皮肤或异常高的物理伤害抵抗力所获得的抗性
XP Percentage Bonus,经验值百分比加成
"If above 0, this attribute provides a percentage bonus to all XP gained for this character",如果经验值百分比加成值大于0，此属性为该角色获得的所有经验值提供百分比加成
#Secondary Attributes,次级属性
Vitality,生命值
Vitality describes the amount of damage a character can take before becoming seriously wounded,生命值描述角色在受重伤前能承受的伤害量
Vitality is fairly easily regained through the use of consumable items and spells,生命值通过使用消耗品和法术很容易恢复
Wounds,伤痕
Wounds represent serious injury to the character,伤痕代表角色的严重伤势
"Wounds are much harder to recover for characters, typically requiring bed rest",伤痕通常需要长时间卧床休息才能恢复，对角色来说非常难以恢复
#Skills,技能
Athletics,力量
"Athletics are used to jump, climb, swim or sprint",力量用于跳跃、攀爬、游泳或冲刺
Awareness,觉醒
The ability to notice small details and hidden things,发现微小细节和隐藏事物的能力
Crafting,制作
Crafting is used when creating items at crafting stations,制作是在制作站创建物品时使用的能力
Diplomacy,交际
"Diplomacy is used to lie, bargain or sway others in negotiations",交际用于撒谎、讨价还价或在谈判中说服他人
It influences prices at merchants,它影响商人的价格
Healing,治疗
Healing is used in camp to increase the rate of wound recovery for wounded characters,治疗用于在营地加速受伤角色的伤口恢复速度
It also influences the amount of vitality regained from healing potions and is used in dialogue tests when dealing with medical issues and such,它还影响治疗药水恢复的生命值量，并在处理医疗问题等对话测试中使用
Lore,背景知识
A general knowledge skill,一种通用知识技能
Stealth,潜行
Stealth is used during adventuring,潜行用于冒险时
In particular it determines if NPCs notice the party as it moves around,特别是在角色移动时，它决定NPC是否注意到队伍
Survival,生存
"Survival is used to forage for food, navigate difficult overland terrain and also determines a character's general knowledge of nature",生存用于采集食物、穿越艰难的陆地地形，以及决定角色对自然的总体了解
Thievery,盗窃
Used to pick locks and pockets as well as to steal from shops,用于开锁、偷窃以及从商店偷窃
